# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:49 CEST 2017 [seed=1502886884603]
# -beagle_SSE batRABV_8Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefficients7	host.coefficients8	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefIndicators7	host.coefIndicators8	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6	host.coefficientsTimesIndicators7	host.coefficientsTimesIndicators8
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50000	-0.41796536545992574	1.6597759178177658	0.6054989053133655	1.3801425256220814	0.7662036004740014	0.5591594630148516	0.8111555212760955	0.8339234808528286	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.41796536545992574	0.0	0.0	0.0	0.0	0.0	0.8111555212760955	0.8339234808528286
100000	-0.6238609654385239	-0.890141069671991	-1.0291894666454326	-2.419446449469841	3.333251525840244	-1.736041880159619	1.0274014529637063	0.7826431721225298	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6238609654385239	-0.0	-0.0	-0.0	0.0	-0.0	1.0274014529637063	0.7826431721225298
150000	-0.568610001209582	-2.347239254640314	3.775260586309209	-1.9145100394405772	-1.6631988559050173	1.2616185928824108	0.5198375872918378	-1.223640485509984	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.568610001209582	-0.0	0.0	-0.0	-0.0	0.0	0.5198375872918378	-0.0
200000	-0.6346940734324483	4.406557423440043	-2.270924008233185	2.377344745762596	0.44419093473220156	-3.0412092123871943	0.8806024502081496	0.5123567895370207	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6346940734324483	0.0	-0.0	0.0	0.0	-0.0	0.8806024502081496	0.5123567895370207
250000	-0.638911892691524	0.63066879792688	-0.16237022260726156	1.6599530276527261	-0.4104951976778413	1.2037638606620653	-2.2369483104506327	0.015690180007359993	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.638911892691524	0.63066879792688	-0.0	0.0	-0.0	0.0	-0.0	0.0
300000	-0.6126050486355153	0.40573779619826683	1.2556396109875598	1.6985248395782242	1.47072376663987	1.8109356027782846	-1.7416503585353937	0.1197536190293687	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6126050486355153	0.0	0.0	0.0	0.0	0.0	-0.0	0.0
350000	-0.6374136844400211	-0.7600531678627953	5.7154398865017395	1.7508220143315976	-1.2226441281193425	3.007633199098296	0.4905029085420812	1.145544367155891	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6374136844400211	-0.0	0.0	0.0	-0.0	0.0	0.4905029085420812	0.0
400000	-0.6220272217713977	-3.8636346774316817	-2.3338085073968404	1.1349044085955373	0.5909345032446235	-2.2753488645367623	0.6680886817929742	0.5585829726882966	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6220272217713977	-0.0	-0.0	0.0	0.0	-0.0	0.6680886817929742	0.5585829726882966
450000	-0.690853389876417	-0.35556452690724566	-0.6534707765354227	-0.3913385995863666	0.6093112301049383	0.005291990777715575	0.8176831873930595	-1.7355250850894743	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.690853389876417	-0.0	-0.0	-0.0	0.0	0.0	0.8176831873930595	-0.0
