lab-id,country,admin1
77669_EMLK,SLE,?
77681_EMLK,SLE,?
KT4730,SLE,?
705_EMLH,SLE,?
473_EMLH,SLE,?
MK0384,SLE,Bombali
MK1079,SLE,Bombali
LIBR10071,LBR,Montserrado
LIBR10054,LBR,Bomi
PL6086,SLE,Kambia
MK0894,SLE,Bombali
20146578,SLE,Koinadugu
G3845.2,SLE,Kenema
MK4165,SLE,Koinadugu
466_EMLH,SLE,WesternUrban
KT2641,SLE,?
20141497,SLE,Bombali
1059,GIN,Conakry
KT2669,SLE,?
EM_COY_2015_023888,GIN,Dubreka
IPDPFHGINSP_GUI_2015_6899,GIN,Boke
EM_COY_2015_016483,GIN,Boke
EM_COY_2015_017574,GIN,Boke
KG45,GIN,Boke
GUI_CTS_2015_0052,GIN,Boke
KG88,GIN,Boke
KG90,GIN,Boke
GUI_CTS_2015_0051,GIN,Boke
KG35,GIN,Boke
KG168,GIN,Boke
KG87,GIN,Boke
KG80,GIN,Boke
KG91,GIN,Boke
KG167,GIN,Boke
GUI_CTS_2015_0050,GIN,Boke
PL4194,SLE,PortLoko
MK2397,SLE,Bombali
MK2938,SLE,Bombali
MK2900,SLE,Bombali
KT5789,SLE,WesternUrban
KT5858,SLE,?
EM_078555,GIN,Faranah
EM113,SLE,Kailahun
EM111,SLE,Kailahun
REDC_GUI_2015_00494B,GIN,Conakry
DML24601,SLE,Kono
DML24592,SLE,Kono
J0107,SLE,WesternUrban
J0029,SLE,PortLoko
G5647.1,SLE,?
20140729,SLE,Bo
G5640.1,SLE,?
12854_EMLH,SLE,WesternUrban
MK2449,SLE,Bombali
MK2282,SLE,Bombali
684,GIN,Conakry
20140254,SLE,Bo
G5644.1,SLE,?
20141227,SLE,Bo
MK1014,SLE,Bombali
768,GIN,Conakry
EM_074461,GIN,Gueckedou
12705_EMLH,SLE,WesternUrban
DML12458,SLE,WesternUrban
LIBR10241,LBR,?
PL4187,SLE,PortLoko
KT5974,SLE,?
PL5099,SLE,PortLoko
PL4671,SLE,PortLoko
KT5832,SLE,?
PL4679,SLE,?
EM_000321,GIN,Macenta
EM_075932,GIN,Macenta
EM_076217,GIN,Macenta
EM_076403,GIN,Macenta
EM_078706,GIN,Kissidougou
EM_004059,GIN,Kissidougou
EM_078694,GIN,Kissidougou
EM_078763,GIN,Kissidougou
EM_004259,GIN,Kissidougou
EM_004290,GIN,Kissidougou
EM_004201,GIN,Kissidougou
EM_078779,GIN,Kissidougou
EM_004422,GIN,Kissidougou
EM_004438,GIN,Kissidougou
EM_004437,GIN,Kissidougou
EM_004414,GIN,Kissidougou
EM_078722,GIN,Kissidougou
EM_004085,GIN,Kissidougou
EM_076472,GIN,Macenta
PL4680,SLE,?
PL5228,SLE,PortLoko
PL5179,SLE,PortLoko
PL4651,SLE,PortLoko
G3846,SLE,Kailahun
G3765,SLE,Kailahun
G5844.1,SLE,Moyamba
20141043,SLE,Moyamba
G4323.2,SLE,Kenema
G4329.1,SLE,Kailahun
EM115,SLE,Kailahun
EM106,SLE,Kailahun
NM042,SLE,Kambia
G3750,SLE,Kailahun
G3814,SLE,Kailahun
G3817,SLE,Kailahun
EM124,SLE,Kailahun
G3724,SLE,Kailahun
G3819,SLE,Kailahun
G3764,SLE,?
G3840,SLE,Kailahun
G3818,SLE,Kailahun
G3821,SLE,Kailahun
G3816,SLE,Kailahun
G3809,SLE,Kailahun
G3822,SLE,Kailahun
EM104,SLE,Kailahun
G3735,SLE,Kailahun
G3856,SLE,Kenema
G4422.1,SLE,Kenema
G4345.1,SLE,Kenema
G4316.1,SLE,Kenema
G4415.1,SLE,Kenema
G4389.1,SLE,Kenema
G4406.1,SLE,Kono
G5364.1,SLE,?
G5059.1,SLE,Kenema
20140038,SLE,Tonkolili
G5570.1,SLE,Kenema
G4702.1,SLE,Kenema
G4701.1,SLE,Kenema
G4324.1,SLE,Kenema
G4325.1,SLE,Kenema
G4380.1,SLE,Kenema
G4837.1,SLE,Kenema
G4856.1,SLE,Kenema
20140910,SLE,Kenema
G4971.1,SLE,Kenema
G5370.1,SLE,Kenema
G4946.1,SLE,Kenema
G4907.1,SLE,Kenema
Makona-UK1.1,SLE,Kenema
20140008,SLE,Kenema
G4960.1,SLE,Kenema
G4937.1,SLE,Kenema
G4942.1,SLE,Moyamba
G4886.1,SLE,Kenema
G4312.2,SLE,PortLoko
G4350.1,SLE,Kenema
G4190.1,SLE,Kailahun
G3950.1,SLE,?
G3850,SLE,Kailahun
G3917.1,SLE,Kenema
G3845,SLE,Kailahun
G4151.1,SLE,Kenema
G4450.1,SLE,Kenema
G3855.2,SLE,Kenema
G3798,SLE,Kailahun
G3771,SLE,Kailahun
G3805,SLE,Kailahun
G3949.1,SLE,?
20140161,SLE,Kailahun
20140100,SLE,Pujehun
20141012,SLE,Pujehun
G5879.1,SLE,Pujehun
G6060.1,SLE,Pujehun
G6062.1,SLE,Pujehun
20141643,SLE,Pujehun
G4419.1,SLE,Kenema
G4217.1,SLE,Bo
G3952.1,SLE,Kailahun
G3826,SLE,Kailahun
G3827,SLE,Kailahun
G3851,SLE,Kenema
G4736.1,SLE,Kenema
G4717.1,SLE,Kenema
G4730.1,SLE,Kenema
G4132.1,SLE,Kenema
G3857,SLE,Kailahun
G3889.1,SLE,Kenema
EM_080265,SLE,Kailahun
G3829,SLE,Kailahun
G3834,SLE,Kailahun
G3851.2,SLE,Kenema
G3848,SLE,Kailahun
G3825,SLE,Kailahun
G4334.1,SLE,Kenema
G3886.1,SLE,Kenema
G4264.1,SLE,Kenema
G4347.1,SLE,Kenema
G4996.1,SLE,?
505,GIN,Conakry
G4423.1,SLE,Kailahun
G4255.1,SLE,Kailahun
MK2656,SLE,Koinadugu
MK3050,SLE,Koinadugu
MK2918,SLE,Koinadugu
20142551,SLE,Koinadugu
20143938,SLE,Koinadugu
20143648,SLE,Koinadugu
20143659,SLE,Koinadugu
20142895,SLE,Koinadugu
J0009,SLE,PortLoko
J0062,SLE,PortLoko
G6091.1,SLE,Tonkolili
J0055,SLE,PortLoko
20141271,SLE,PortLoko
G5983.1,SLE,?
20140024,SLE,PortLoko
G5997.1,SLE,?
G5998.1,SLE,?
G5996.1,SLE,?
J0036,SLE,PortLoko
J0033,SLE,PortLoko
J0070,SLE,PortLoko
J0072,SLE,PortLoko
J0084,SLE,PortLoko
J0083,SLE,PortLoko
J0035,SLE,PortLoko
J0058,SLE,PortLoko
J0071,SLE,PortLoko
MK0879,SLE,PortLoko
J0095,SLE,WesternUrban
J0110,SLE,WesternUrban
J0119,SLE,WesternUrban
J0155,SLE,WesternArea
J0097,SLE,WesternRural
KT5226,SLE,?
KT5320,SLE,WesternRural
KT5388,SLE,WesternRural
KT5738,SLE,?
KT5734,SLE,WesternRural
12615_EMLH,SLE,WesternRural
J0158,SLE,WesternRural
J0120,SLE,WesternRural
J0111,SLE,WesternUrban
MK0020,SLE,Bombali
MK13013,SLE,Bombali
20143550,SLE,Bombali
MK1156,SLE,Bombali
MK0574,SLE,?
MK0592,SLE,Bombali
MK0704,SLE,Bombali
J0023,SLE,WesternRural
G5019.1,SLE,Kenema
G4868.1,SLE,?
J0037,SLE,PortLoko
J0056,SLE,PortLoko
J0161,SLE,WesternUrban
J0139,SLE,WesternUrban
J0025,SLE,WesternRural
J0082,SLE,WesternRural
J0145,SLE,WesternRural
J0122,SLE,WesternUrban
Makona-Italy-INMI1,SLE,WesternArea
20144819,SLE,Moyamba
20144820,SLE,Moyamba
20143360,SLE,Kenema
20143415,SLE,WesternRural
J0138,SLE,WesternUrban
J0126,SLE,WesternRural
J0125,SLE,WesternRural
20143018,SLE,WesternUrban
J0057,SLE,PortLoko
G5304.1,SLE,?
J0046,SLE,WesternRural
J0076,SLE,WesternRural
J0127,SLE,WesternUrban
J0128,SLE,WesternUrban
J0175,SLE,WesternArea
J0166,SLE,WesternUrban
J0131,SLE,PortLoko
J0130,SLE,PortLoko
G6089.1,SLE,Tonkolili
J0010,SLE,PortLoko
J0109,SLE,WesternUrban
J0067,SLE,PortLoko
J0034,SLE,PortLoko
J0162,SLE,Kambia
J0063,SLE,PortLoko
J0027,SLE,Bombali
20143918,SLE,WesternRural
MK0864,SLE,?
