traits	lat	long
WG007_Hs_2005.59	31.82	-106.56
WG009_Hs_2005.67	32.28	-106.74
WG011_Hs_2006.66	31.78	-106.50
WG013_Hs_2007.48	31.84	-106.53
WG024_Hs_2003.53	33.81	-117.83
WG080_Hs_2004.56	34.22	-118.44
WG091_Hs_2004.66	34.14	-117.15
WG099_Hs_2004.49	34.04	-117.02
WG101_Hs_2005.57	33.95	-117.73
WG103_Hs_2005.58	33.85	-118.15
WG116_Hs_2005.65	33.84	-118.08
WG124_Hs_2005.69	32.31	-111.21
WG132_Hs_2005.76	33.95	-118.20
WG142_Hs_2006.64	41.26	-96.12
WG144_Hs_2006.67	32.24	-110.92
WG148_Hs_2007.59	34.10	-117.91
WG149_Hs_2007.63	34.24	-118.52
DQ431712WG252_Hs_2004.57	33.41	-111.93
DQ431711WG251_Hs_2004	33.41	-111.93
DQ431709WG240_Hs_2004.54	34.06	-117.67
DQ431708WG238_Hs_2004.54	32.73	-117.17
DQ431707WG237_Hs_2004.58	35.20	-106.64
DQ431704WG219_Hs_2004.57	39.07	-108.54
DQ431703WG218_Hs_2004.57	39.07	-108.54
DQ431702WG216_Hs_2004.57	39.07	-108.54
DQ431701WG214_Hs_2004.53	39.07	-108.54
DQ431700WG213_Hs_2004	37.78	-122.46
DQ431699WG124_Hs_2003.73	27.98	-82.34
DQ431698WG120_Hs_2003.65	27.98	-82.34
DQ431697WG113_Hs_2003.56	27.98	-82.34
DQ431696WG104_Hs_2003.70	43.04	-87.91
DQ431695WG082_Hs_2003	42.08	-87.82
DQ431694WG022_Hs_2003.62	34.65	-102.75
DQ431693WG020_Hs_2003.60	35.08	-102.05
DQ164204_Bj_2003	39.00	-105.55
DQ164203_Ph_2003	39.00	-105.55
DQ164206_Cc_2004	29.77	-95.31
DQ164201_Hs_2004	34.17	-111.93
AY712945_Zm_2003	29.74	-95.31
AY712946_Cc_2003	29.74	-95.31
AY712948_Cq_2003	29.74	-95.31
AY712947_Cc_2003	29.74	-95.31
DQ164199_Hs_2003	31.17	-100.08
DQ080061_Ccs_2004	29.94	-91.87
DQ164186_Cb_2002	40.74	-73.79
DQ164187_Cb_2002	42.19	-75.88
DQ164193_Cb_2002	44.85	-73.66
DQ164195_Cx_2002	40.67	-73.56
DQ164196_Hs_2002	32.68	-83.25
DQ164197_Hs_2002	32.68	-83.25
DQ164202_Hs_2002	40.19	-82.67
DQ164200_Hs_2002	39.77	-86.44
DQ164198_Hs_2002	31.17	-100.08
DQ164205_Hs_2002	31.17	-100.08
DQ164188_Cb_2003	41.13	-73.79
DQ164189_Cb_2003	42.55	-73.94
DQ164190_Cb_2003	40.95	-72.64
DQ164191_Cb_2003	42.23	-79.52
DQ164192_Cb_2003	41.16	-73.99
DQ164194_Cb_2001	40.95	-72.64
DQ080072_Dc_2001	26.69	-80.04
DQ080071_Ec_2002	28.70	-82.00
AY795965_Hs_2002	43.74	-84.63
DQ005530_Hs_2003	39.50	-111.55
DQ666448_Hs_2004	34.17	-111.93
DQ666449_Hs_2005	31.17	-100.08
DQ666450_Hs_2005	31.17	-100.08
DQ666451_Hs_2005	34.17	-111.93
DQ666452_Hs_2005	44.22	-100.25
AY646354_Hs_2002	42.76	-75.82
AY289214_Hs_2002.62	30.07	-94.11
AF533540_Hs_2001.71	40.67	-73.56
AF404756_Cb_2000	41.16	-73.99
AF404755_Bu_2000	43.46	-76.24
AF404754_Cp_2000	40.95	-74.07
AF404753_Cb_2000	39.43	-76.78
AF196835_Pc_1999.71	40.77	-73.96
AF260967_Ec_1999	40.77	-73.96
AF202541_Hs_1999.66	42.76	-75.82
FJ151394_Cb_1999	40.77	-73.99
DQ983578_Cn_2003	27.64	-80.68
DQ431710WG244_Hs_2004.58	33.94	-117.95
DQ431706WG236_Hs_2004.57	35.20	-106.64
DQ431705WG233_Hs_2004.52	44.07	-103.21
DQ176637_Qq_2002	34.45	-100.69
DQ080060_Cc_2004	30.30	-114.94
DQ080062_Cx_2002	29.94	-91.87
DQ080063_Cl_2003	30.30	-114.94
DQ080064_Fa_2003	30.30	-114.94
DQ080065_Qq_2003	30.30	-114.94
DQ080066_Px_2003	30.30	-114.94
DQ080067_Bvs_2003	30.30	-114.94
DQ080068_Ah_2003	30.30	-114.94
DQ080069_Ec_2003	24.93	-98.64
DQ080070_Qq_2003	29.35	-111.68
DQ080051_Ct_2003	31.75	-110.02
DQ080052_Ct_2003	33.38	-112.57
DQ080053_Ct_2003	35.61	-109.46
DQ080054_Cq_2003	34.48	-118.08
DQ080055_Ct_2003	32.94	-114.90
DQ080056_Ct_2003	32.94	-114.90
DQ080057_Cb_2003	34.13	-118.05
DQ080058_Cb_2003	34.13	-118.05
DQ080059_Pn_2003	38.58	-121.49
