,Alimbongo,Ariwara,Beni,Biena,Bunia,Butembo,Goma,Kalunguta,Katwa,Kayna,Komanda,Kyondo,Lolwa,Lubero,Mabalako,Mambasa,Mandima,Manguredjipa,Masereka,Musienene,Mutwanga,Mwenga,Nyankunde,Nyiragongo,Oicha,Rwampara,Vuhovi
Alimbongo,0.001,444.6,116.5,67.4,265.2,67.9,145.4,88.9,70,33,185.3,78.3,221,21.5,100.3,203.4,145.4,99.3,55.5,47.7,115.8,305.5,234.5,135.4,146.6,255.7,85.9
Ariwara,444.6,0.001,329.1,382.1,184.6,377.3,565.6,355.9,376.7,460.8,259.4,379.2,230.1,423.2,346.6,298.4,306.4,402.5,398.8,419.2,341.5,740.2,210.4,551.7,298.7,191.1,363.2
Beni,116.5,329.1,0.001,64,148.8,48.6,242.2,28,47.6,131.9,71.8,55,114.1,95.7,36.4,137.5,56.5,117.6,70.7,102.9,34.1,413.7,118.7,229,30.4,139.3,35.4
Biena,67.4,382.1,64,0.001,207.8,31.9,210.5,38.6,39.4,94.5,123.4,63.1,155.1,46.7,35.6,138.9,78.5,62.9,55.3,39.4,81.5,372.9,174,199.3,90.1,196.8,51.6
Bunia,265.2,184.6,148.8,207.8,0.001,197.3,381.1,176.6,195.7,278.3,86.8,195.7,84.9,244.4,172.7,175,141.8,242.9,216.2,246.9,157.3,555.8,38.2,367.1,118.9,14.4,181
Butembo,67.9,377.3,48.6,31.9,197.3,0.001,199,21.5,7.5,85.3,118.5,31.4,157.2,47.3,41.3,158.5,86.3,94.7,29.5,62.2,54.1,367.7,166.9,186.6,78.8,187.9,22.1
Goma,145.4,565.6,242.2,210.5,381.1,199,0.001,219.5,196.7,116.1,313.8,188.3,355.5,164.1,238.8,348.6,284.7,241,171.9,191.6,224.5,175.3,357.6,14.5,271.5,374.9,206.8
Kalunguta,88.9,355.9,28,38.6,176.6,21.5,219.5,0.001,22.8,106.6,97.1,40,136.2,67.8,26.5,143.7,67.5,98.2,48.1,76.1,43.9,389,145.6,206.9,57.8,166.9,20
Katwa,70,376.7,47.6,39.4,195.7,7.5,196.7,22.8,0.001,84.5,118.8,24,158.8,50.3,46,163.8,89.8,102.2,25.4,68.5,48.6,366.7,166.3,184.1,78,186.7,16.7
Kayna,33,460.8,131.9,94.5,278.3,85.3,116.1,106.6,84.5,0.001,203.3,83.4,242.4,48.5,123.5,232.9,169.4,132.2,62.2,80.5,122.6,282.5,250.4,104.9,162.3,270.1,97.6
