health_zone,longitude,latitude
Alimbongo,28.916961,-0.366662
Ariwara,30.745601,3.189511
Beni,29.498169,0.504776
Biena,28.990183,0.235028
Bunia,30.267601,1.599238
Butembo,29.260131,0.138447
Goma,29.174501,-1.648925
Kalunguta,29.327113,0.319514
Katwa,29.322893,0.114217
Kayna,29.088100,-0.608748
Komanda,29.639600,1.134591
Kyondo,29.511565,0.010283
Lolwa,29.506590,1.530914
Lubero,28.984225,-0.185128
Mabalako,29.171072,0.499064
Mambasa,28.700599,1.449794
Mandima,29.193953,0.911382
Manguredjipa,28.446843,0.392541
Masereka,29.346266,-0.112785
Musienene,28.715461,0.011726
Mutwanga,29.721140,0.294427
Mwenga,28.525326,-3.086020
Nyankunde,29.948146,1.472822
Nyiragongo,29.244255,-1.539202
Oicha,29.614207,0.752446
Rwampara,30.139571,1.581174
Vuhovi,29.452414,0.189929
