# BEAST v${version}${extra_release_tag}
# Generated Thu Jul 30 22:17:20 CEST 2026 [seed=1785442627552]
# -beagle_gpu -beagle_order 1 -overwrite EBOV_DRC_18-20.xml
state	HZ.coefficients1	HZ.coefficients2	HZ.coefficients3	HZ.coefIndicators1	HZ.coefIndicators2	HZ.coefIndicators3	HZ.coefficientsTimesIndicators1	HZ.coefficientsTimesIndicators2	HZ.coefficientsTimesIndicators3
0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
50000	1.4080893788715323	0.47754581647939914	-1.0683785033718072	0.0	1.0	1.0	0.0	0.47754581647939914	-1.0683785033718072
100000	2.702322840508208	0.4679094305957572	-1.111663548499581	0.0	1.0	1.0	0.0	0.4679094305957572	-1.111663548499581
150000	-3.544252118609583	0.30167868725329317	-1.1534928337964363	0.0	1.0	1.0	-0.0	0.30167868725329317	-1.1534928337964363
200000	-1.3147190979331664	0.35064058284332905	-1.2274521042003468	0.0	1.0	1.0	-0.0	0.35064058284332905	-1.2274521042003468
250000	-1.1544654353207733	0.7218073245966623	-1.08426253135178	0.0	1.0	1.0	-0.0	0.7218073245966623	-1.08426253135178
300000	2.111409876285114	0.2844932535517375	-1.0046476640437658	0.0	1.0	1.0	0.0	0.2844932535517375	-1.0046476640437658
350000	1.087550481106179	0.4049336099764823	-1.049723115480629	0.0	1.0	1.0	0.0	0.4049336099764823	-1.049723115480629
400000	1.183928325626487	0.6901222855832607	-1.1587114187408971	0.0	1.0	1.0	0.0	0.6901222855832607	-1.1587114187408971
450000	0.7444168374502718	0.3231073716015374	-1.1398910092853283	0.0	1.0	1.0	0.0	0.3231073716015374	-1.1398910092853283
500000	1.9044169626457783	0.19631145876877984	-1.2437712782988177	0.0	1.0	1.0	0.0	0.19631145876877984	-1.2437712782988177
550000	-3.1382857994843087	0.3471137680640452	-1.1248024329565407	0.0	1.0	1.0	-0.0	0.3471137680640452	-1.1248024329565407
600000	3.2331332020447032	0.24181187607998356	-1.0522268155808807	0.0	1.0	1.0	0.0	0.24181187607998356	-1.0522268155808807
650000	1.7756745219086896	0.22322714944123714	-1.0231600606493347	0.0	1.0	1.0	0.0	0.22322714944123714	-1.0231600606493347
700000	0.7456387897544869	0.3012482011536921	-1.1019765975069364	0.0	1.0	1.0	0.0	0.3012482011536921	-1.1019765975069364
750000	2.7090485697526603	0.5366310018441911	-1.046075585130279	0.0	1.0	1.0	0.0	0.5366310018441911	-1.046075585130279
800000	0.5399162770038249	0.4762876934893309	-1.0612675112236227	0.0	1.0	1.0	0.0	0.4762876934893309	-1.0612675112236227
850000	-2.5873019934723303	0.24715386819208435	-1.1277376180125014	0.0	1.0	1.0	-0.0	0.24715386819208435	-1.1277376180125014
900000	-0.7031604606951117	0.17682629682076645	-1.0021223265337664	0.0	1.0	1.0	-0.0	0.17682629682076645	-1.0021223265337664
950000	-0.2546723478007121	0.4336647349450584	-1.0505594715595379	0.0	1.0	1.0	-0.0	0.4336647349450584	-1.0505594715595379
1000000	1.8344421698067053	0.4594914187624571	-1.1480678304792649	0.0	1.0	1.0	0.0	0.4594914187624571	-1.1480678304792649
1050000	-0.47734690243649314	0.30030384489393935	-1.0395320254906055	0.0	1.0	1.0	-0.0	0.30030384489393935	-1.0395320254906055
1100000	-0.057820291197637305	0.26941764165593995	-1.2384062588116895	1.0	1.0	1.0	-0.057820291197637305	0.26941764165593995	-1.2384062588116895
1150000	0.32677967798123503	0.4540453856490071	-1.1227681467441686	0.0	1.0	1.0	0.0	0.4540453856490071	-1.1227681467441686
1200000	4.476515150392573	0.5057820511416593	-1.0457283695223258	0.0	1.0	1.0	0.0	0.5057820511416593	-1.0457283695223258
1250000	4.983718277175591	0.35906144989542194	-1.1252950959287544	0.0	1.0	1.0	0.0	0.35906144989542194	-1.1252950959287544
1300000	-2.46906573811266	0.5250385325822613	-1.0885553570359334	0.0	1.0	1.0	-0.0	0.5250385325822613	-1.0885553570359334
