taxon	HZ
18FHV089|Mabalako|2018-07-27	Mabalako
18FHV090|Mabalako|2018-07-28	Mabalako
BEN017|Mabalako|2018-08-03	Mabalako
BEN018|Mabalako|2018-08-03	Mabalako
BEN020|Mabalako|2018-08-03	Mabalako
BEN031|Mabalako|2018-08-04	Mabalako
BEN070|Beni|2018-08-06	Beni
BEN104|Mabalako|2018-08-08	Mabalako
BEN105|Mabalako|2018-08-08	Mabalako
BEN112|Mabalako|2018-08-08	Mabalako
BEN114|Mabalako|2018-08-08	Mabalako
BEN140|Beni|2018-08-10	Beni
BEN141|Mabalako|2018-08-11	Mabalako
BEN143|Mabalako|2018-08-11	Mabalako
BEN146|Mabalako|2018-08-11	Mabalako
BEN148|Mabalako|2018-08-11	Mabalako
BEN162|Mabalako|2018-08-11	Mabalako
BEN163|Mabalako|2018-08-11	Mabalako
BEN164|Mabalako|2018-08-11	Mabalako
BEN165|Mabalako|2018-08-11	Mabalako
BEN167|Mabalako|2018-08-11	Mabalako
BEN214|Unknown|2018-08-20	?
BEN225|Beni|2018-08-23	Beni
BEN230|Oicha|2018-08-24	Oicha
BEN234|Mabalako|2018-08-25	Mabalako
BEN236|Beni|2018-08-25	Beni
BEN240|Beni|2018-08-25	Beni
BEN255|Beni|2018-08-29	Beni
BEN263|Beni|2018-08-30	Beni
BEN267|Beni|2018-08-31	Beni
BEN268|Beni|2018-08-31	Beni
BEN269|Beni|2018-08-31	Beni
BEN274|Beni|2018-09-01	Beni
BEN286|Beni|2018-09-03	Beni
BEN292|Butembo|2018-09-04	Butembo
BEN294|Butembo|2018-09-05	Butembo
BEN340|Butembo|2018-09-13	Butembo
BEN341|Beni|2018-09-13	Beni
BEN347|Beni|2018-09-15	Beni
BEN379|Beni|2018-09-20	Beni
BEN809|Beni|2018-10-17	Beni
BEN810|Beni|2018-10-17	Beni
BEN814|Beni|2018-10-18	Beni
BEN823|Beni|2018-10-18	Beni
BEN867|Beni|2018-10-19	Beni
BEN915|Beni|2018-10-22	Beni
BEN1066|Beni|2018-10-26	Beni
BEN1084|Beni|2018-10-26	Beni
BEN1146|Beni|2018-10-28	Beni
BEN1271|Beni|2018-10-31	Beni
BEN1543|Beni|2018-11-06	Beni
BEN1656|Beni|2018-11-09	Beni
BEN1662|Beni|2018-11-09	Beni
BEN1674|Beni|2018-11-09	Beni
BEN1706|Beni|2018-11-10	Beni
BEN1708|Beni|2018-11-10	Beni
BEN1742|Beni|2018-11-11	Beni
BEN1753|Beni|2018-11-11	Beni
BEN1811|Beni|2018-11-13	Beni
BEN2010|Beni|2018-11-16	Beni
BEN2024|Beni|2018-11-16	Beni
BEN2030|Beni|2018-11-17	Beni
BEN2062|Beni|2018-11-17	Beni
BEN2064|Beni|2018-11-17	Beni
BEN2072|Beni|2018-11-17	Beni
BEN2078|Beni|2018-11-18	Beni
BEN2079|Beni|2018-11-18	Beni
BEN2099|Beni|2018-11-18	Beni
BEN2193|Mutwanga|2018-11-19	Mutwanga
BEN2329|Beni|2018-11-22	Beni
BEN2332|Beni|2018-11-22	Beni
BEN2357|Beni|2018-11-23	Beni
BEN2510|Beni|2018-11-25	Beni
BEN3224|Oicha|2018-12-05	Oicha
BEN3232|Oicha|2018-12-05	Oicha
BEN3240|Oicha|2018-12-05	Oicha
BEN3652|Beni|2018-12-11	Beni
BEN4020|Oicha|2018-12-15	Oicha
BEN4627|Oicha|2018-12-24	Oicha
BEN4834|Oicha|2018-12-29	Oicha
BEN5597|Oicha|2019-01-10	Oicha
BEN5944|Oicha|2019-01-15	Oicha
BEN6144|Beni|2019-01-16	Beni
BEN6244|Beni|2019-01-18	Beni
BEN7120|Beni|2019-01-28	Beni
BEN7129|Beni|2019-01-28	Beni
BEN9397|Mandima|2019-02-25	Mandima
BEN10569|Mandima|2019-03-13	Mandima
BEN21853|Beni|2019-07-01	Beni
BEN21987|Beni|2019-07-01	Beni
BEN22409|Oicha|2019-07-07	Oicha
BEN22419|Unknown|2019-07	?
BEN22431|Beni|2019-07-07	Beni
BEN22591|Beni|2019-08-07	Beni
BEN22635|Beni|2019-08-07	Beni
BEN28240|Beni|2019-08-11	Beni
BEN28293|Beni|2019-08-11	Beni
BEN28321|Beni|2019-08-11	Beni
BTB123|Masereka|2018-10-05	Masereka
BTB129|Masereka|2018-10-07	Masereka
BTB162|Musienene|2018-10-12	Musienene
BTB164|Masereka|2018-10-13	Masereka
BTB185|Katwa|2018-10-15	Katwa
BTB220|Katwa|2018-10-19	Katwa
