taxa	country	location	latitude	longitude	collection_date
EBOV|20140008|KR653251|SLE|Kenema|2014-08-22	SLE	Kenema	7.790259777	-11.22500302	22/08/2014
EBOV|20140024|KR653252|SLE|PortLoko|2014-08-20	SLE	PortLoko	8.656462445	-12.538551	20/08/2014
EBOV|20140038|KR653267|SLE|Tonkolili|2014-08-23	SLE	Tonkolili	8.424763876	-12.21726922	23/08/2014
EBOV|20140091|KR653239|SLE|WesternRural|2014-08-22	SLE	WesternRural	8.408202778	-13.1496277	22/08/2014
EBOV|20140100|KR653241|SLE|Pujehun|2014-08-24	SLE	Pujehun	7.350490502	-11.7520563	24/08/2014
EBOV|20140134|KR653227|SLE|Bombali|2014-08-26	SLE	Bombali	8.908954621	-12.05495207	26/08/2014
EBOV|20140161|KR653265|SLE|Kailahun|2014-08-27	SLE	Kailahun	8.014160864	-10.7958557	27/08/2014
EBOV|20140174|KR653294|SLE|WesternUrban|2014-08-27	SLE	WesternUrban	8.456939201	-13.3212838	27/08/2014
EBOV|20140254|KR653296|SLE|Bo|2014-08-29	SLE	Bo	7.988310718	-11.75741265	29/08/2014
EBOV|201403007|KP178538|LBR|?|2014-08-03	LBR	Montserrado	6.305226639	-10.67188092	03/08/2014
EBOV|20140395|KR653279|SLE|Kono|2014-09-02	SLE	Kono	8.667233626	-11.03940575	02/09/2014
EBOV|20140433|KR653246|SLE|Tonkolili|2014-09-03	SLE	Tonkolili	8.490185653	-12.26573472	03/09/2014
EBOV|20140436|KR653287|SLE|Moyamba|2014-09-03	SLE	Moyamba	8.058318704	-12.04242112	03/09/2014
EBOV|20140489|KR653235|SLE|Kenema|2014-09-04	SLE	Kenema	7.79034108	-11.21944382	04/09/2014
EBOV|20140517|KR653263|SLE|Kailahun|2014-09-05	SLE	Kailahun	8.041925174	-10.83482052	05/09/2014
EBOV|20140590|KR653278|SLE|Kenema|2014-09-07	SLE	Kenema	7.850190845	-11.17793679	07/09/2014
EBOV|20140729|KR653286|SLE|Bo|2014-09-10	SLE	Bo	7.954879303	-11.7517835	10/09/2014
EBOV|20140872|KR653297|SLE|WesternUrban|2014-09-15	SLE	WesternUrban	8.431276717	-13.25748482	15/09/2014
EBOV|20140910|KR653269|SLE|Kenema|2014-09-18	SLE	Kenema	7.846339548	-11.1372746	18/09/2014
EBOV|20140933|KR653280|SLE|Moyamba|2014-09-16	SLE	Moyamba	8.038570548	-12.0055684	16/09/2014
EBOV|20141012|KR653244|SLE|Pujehun|2014-09-21	SLE	Pujehun	7.315109624	-11.72791429	21/09/2014
EBOV|20141043|KR653305|SLE|Moyamba|2014-09-21	SLE	Moyamba	8.041127806	-12.13827495	21/09/2014
EBOV|20141061|KR653250|SLE|Moyamba|2014-09-21	SLE	Moyamba	8.100503813	-12.04987962	21/09/2014
EBOV|20141123|KR653291|SLE|Bo|2014-09-22	SLE	Bo	7.922446168	-11.71516638	22/09/2014
EBOV|20141227|KR653303|SLE|Bo|2014-09-26	SLE	Bo	8.027324881	-11.67571203	26/09/2014
EBOV|20141232|KR653266|SLE|Tonkolili|2014-09-25	SLE	Tonkolili	8.45260157	-12.26195694	25/09/2014
EBOV|20141241|KR653300|SLE|PortLoko|2014-09-24	SLE	PortLoko	8.658786518	-12.57992329	24/09/2014
EBOV|20141271|KR653261|SLE|PortLoko|2014-09-24	SLE	PortLoko	8.719555291	-12.54191307	24/09/2014
EBOV|20141280|KR653276|SLE|Kambia|2014-09-23	SLE	Kambia	9.07103823	-12.84796166	23/09/2014
EBOV|20141282|KR653229|SLE|Kambia|2014-09-23	SLE	Kambia	9.1165456	-12.91850014	23/09/2014
EBOV|20141288|KR653232|SLE|PortLoko|2014-09-23	SLE	PortLoko	8.737344469	-12.46695211	23/09/2014
EBOV|20141352|KR653284|SLE|Kambia|2014-09-26	SLE	Kambia	9.092912435	-12.9711079	26/09/2014
EBOV|20141397|KR653288|SLE|Moyamba|2014-09-28	SLE	Moyamba	8.099531729	-12.03449961	28/09/2014
EBOV|20141429|KR653260|SLE|Kono|2014-09-28	SLE	Kono	8.652560047	-10.9021502	28/09/2014
EBOV|20141491|KR653289|SLE|Kambia|2014-10-01	SLE	Kambia	9.128043258	-12.84379197	01/10/2014
EBOV|20141497|KR653273|SLE|Bombali|2014-10-01	SLE	Bombali	8.922719892	-12.08115788	01/10/2014
EBOV|20141582|KR653230|SLE|Bo|2014-10-04	SLE	Bo	8.018591449	-11.77177804	04/10/2014
EBOV|20141643|KR653233|SLE|Pujehun|2014-10-04	SLE	Pujehun	7.323736882	-11.67901295	04/10/2014
EBOV|20141650|KR653225|SLE|Kenema|2014-10-05	SLE	Kenema	7.87646868	-11.16187379	05/10/2014
EBOV|20141960|KR653283|SLE|Tonkolili|2014-10-09	SLE	Tonkolili	8.452189658	-12.24716269	09/10/2014
EBOV|20141997|KR653293|SLE|Kono|2014-10-10	SLE	Kono	8.698154098	-10.94110822	10/10/2014
EBOV|20142065|KR653274|SLE|Kenema|2014-10-11	SLE	Kenema	7.792329496	-11.15364942	11/10/2014
EBOV|20142127|KR653234|SLE|Bombali|2014-10-12	SLE	Bombali	8.896142316	-12.1018736	12/10/2014
EBOV|20142260|KR653262|SLE|Bombali|2014-10-14	SLE	Bombali	8.874458285	-12.11089869	14/10/2014
EBOV|20142407|KR653249|SLE|Tonkolili|2014-10-16	SLE	Tonkolili	8.50093079	-12.26063796	16/10/2014
EBOV|20142417|KR653254|SLE|Bo|2014-10-19	SLE	Bo	7.904604085	-11.66856607	19/10/2014
EBOV|20142477|KR653255|SLE|Moyamba|2014-10-19	SLE	Moyamba	8.151512891	-12.04316239	19/10/2014
EBOV|20142551|KR653226|SLE|Koinadugu|2014-10-23	SLE	Koinadugu	9.590005818	-11.61630515	23/10/2014
EBOV|20142843|KR653301|SLE|Bombali|2014-10-23	SLE	Bombali	8.860199421	-11.99446744	23/10/2014
EBOV|20142856|KR653302|SLE|Tonkolili|2014-10-24	SLE	Tonkolili	8.50015	-12.17500913	24/10/2014
EBOV|20142895|KR653268|SLE|Koinadugu|2014-10-24	SLE	Koinadugu	9.535771102	-11.51804399	24/10/2014
EBOV|20143018|KR653272|SLE|WesternUrban|2014-10-26	SLE	WesternUrban	8.529588144	-13.29697285	26/10/2014
EBOV|20143031|KR653275|SLE|WesternUrban|2014-10-25	SLE	WesternUrban	8.510793062	-13.31770068	25/10/2014
EBOV|20143036|KR653285|SLE|PortLoko|2014-10-24	SLE	PortLoko	8.623758102	-12.55394499	24/10/2014
EBOV|20143107|KR653247|SLE|Bombali|2014-10-25	SLE	Bombali	8.909699055	-12.00847963	25/10/2014
EBOV|20143164|KR653277|SLE|Kenema|2014-10-27	SLE	Kenema	7.825073254	-11.16426179	27/10/2014
EBOV|20143187|KR653298|SLE|Pujehun|2014-10-28	SLE	Pujehun	7.392162503	-11.67138597	28/10/2014
EBOV|20143317|KR653282|SLE|Bombali|2014-10-29	SLE	Bombali	8.903595391	-12.08187421	29/10/2014
EBOV|20143360|KR653258|SLE|Kenema|2014-10-30	SLE	Kenema	7.844975084	-11.12069891	30/10/2014
EBOV|20143415|KR653248|SLE|WesternRural|2014-10-31	SLE	WesternRural	8.38834064	-13.17901854	31/10/2014
EBOV|20143458|KR653245|SLE|Tonkolili|2014-11-01	SLE	Tonkolili	8.43057659	-12.1952578	01/11/2014
EBOV|20143466|KR653304|SLE|Kenema|2014-11-01	SLE	Kenema	7.870680715	-11.22766179	01/11/2014
EBOV|20143550|KR653228|SLE|Bombali|2014-11-01	SLE	Bombali	8.860743706	-11.97024354	01/11/2014
EBOV|20143648|KR653253|SLE|Koinadugu|2014-11-03	SLE	Koinadugu	9.557276515	-11.57695205	03/11/2014
EBOV|20143659|KR653256|SLE|Koinadugu|2014-11-03	SLE	Koinadugu	9.557831945	-11.49294257	03/11/2014
EBOV|20143716|KR653292|SLE|Moyamba|2014-11-04	SLE	Moyamba	8.18165137	-12.12404253	04/11/2014
EBOV|20143753|KR653236|SLE|Tonkolili|2014-11-05	SLE	Tonkolili	8.44019272	-12.16200334	05/11/2014
EBOV|20143796|KR653257|SLE|Moyamba|2014-11-05	SLE	Moyamba	8.064025672	-12.12427924	05/11/2014
EBOV|20143918|KR653240|SLE|WesternRural|2014-11-06	SLE	WesternRural	8.393763301	-13.13465028	06/11/2014
EBOV|20143938|KR653264|SLE|Koinadugu|2014-11-07	SLE	Koinadugu	9.634911471	-11.53296735	07/11/2014
EBOV|20143964|KR653242|SLE|Bo|2014-11-07	SLE	Bo	7.902682234	-11.67583799	07/11/2014
EBOV|20144192|KR653238|SLE|Bombali|2014-11-08	SLE	Bombali	8.913804518	-12.11586405	08/11/2014
EBOV|20144521|KR653271|SLE|Kono|2014-11-12	SLE	Kono	8.646552367	-10.98207547	12/11/2014
EBOV|20144610|KR653270|SLE|Tonkolili|2014-11-12	SLE	Tonkolili	8.507861051	-12.26707926	12/11/2014
EBOV|20144819|KR653299|SLE|Moyamba|2014-11-15	SLE	Moyamba	8.178975718	-12.1386287	15/11/2014
EBOV|20144820|KR653243|SLE|Moyamba|2014-11-15	SLE	Moyamba	8.171791357	-12.03604929	15/11/2014
EBOV|20144837|KR653259|SLE|Bombali|2014-11-14	SLE	Bombali	8.942477213	-11.98586005	14/11/2014
EBOV|20144865|KR653231|SLE|PortLoko|2014-11-13	SLE	PortLoko	8.733629132	-12.54242305	13/11/2014
