# BEAST v1.10.0 Prerelease #VEME2017
# Generated Sun Aug 27 13:41:57 BST 2017 [seed=1503837701188]
# -window -working -options
state	posterior	prior	likelihood	p1.treeModel.rootHeight	p2.treeModel.rootHeight	p1.age(root)	p2.age(root)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	p1.clock.rate	p2.clock.rate	p1.meanRate	p2.meanRate	p1.p1.treeLikelihood	p2.p2.treeLikelihood	p1.branchRates	p2.branchRates	p1.coalescent	p2.coalescent
0	-95398.73493318284	-355.72685921817515	-95043.00807396467	69.44076568432908	69.23760278767597	1939.559234315671	1939.762397212324	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	1.0	1.0	-47537.35298244544	-47505.65509151923	0.0	0.0	-66.82288490358312	-59.473071834193064
1000	-44591.87712425506	-123.82829800796273	-44468.0488262471	69.37095251214164	69.12685408208787	1939.6290474878583	1939.873145917912	0.6429138158117135	4.063876276875413	0.2500000001	0.2437960628928505	0.24623533478146337	0.25996860222568613	0.31924993945651625	0.10025420010980016	0.31924993945651614	0.10025420010980017	-26341.340637594607	-18126.70818865249	0.0	0.0	-43.271043423461464	-41.125373895921065
2000	-33126.25487812472	-172.95203729606598	-32953.30284082865	69.21262042804554	69.16577271277515	1939.7873795719545	1939.8342272872248	1.0494362000434632	7.6485887833277335	0.2477658479656299	0.2437960628928505	0.24647835894396608	0.26195973019755353	0.07657719672713005	0.034243969270835665	0.07657719672713004	0.034243969270835645	-17936.103574720833	-15017.199266107818	0.0	0.0	-51.667052185869146	-112.98864347289273
3000	-29816.305154649926	-257.66238686917313	-29558.642767780755	69.08302689573902	69.70825040802679	1939.916973104261	1939.2917495919733	1.8572783329619937	6.947579951078859	0.2394505480408003	0.24952188294773942	0.24757547657910503	0.2634520924323553	0.03488031560274093	0.029603123100381327	0.034880315602740936	0.029603123100381313	-15707.912108380911	-13850.730659399844	0.0	0.0	-103.17507700951934	-149.34734715033238
4000	-27993.315577878937	-290.1902619053794	-27703.125315973557	69.04265350599971	69.40915462654331	1939.9573464940004	1939.5908453734567	2.0132797988995983	7.060248679490844	0.23178529758503724	0.25718713340350247	0.24757547657910503	0.2634520924323553	0.034316654381789456	0.022422435294467098	0.034316654381789484	0.022422435294467108	-14610.531350263656	-13092.593965709899	0.0	0.0	-129.2448558160868	-156.32152649296
5000	-26125.842442294008	-381.6058614549198	-25744.23658083909	70.9808489662067	69.93453386136461	1938.0191510337934	1939.0654661386354	5.771773413500933	7.514515980080136	0.23178529758503724	0.2520670753012521	0.2474365009166735	0.2687111261970372	0.020212784342090832	0.015348324325922822	0.02021278434209083	0.01534832432592282	-13672.479234845117	-12071.757345993974	0.0	0.0	-181.3334226232038	-196.5844589556845
6000	-24888.88444913541	-418.3802578936968	-24470.504191241715	73.0113524486543	70.4326866617715	1935.9886475513456	1938.5673133382286	7.197166206806203	7.30347243785505	0.23425219122386678	0.2520670753012521	0.2393199401497846	0.2743607933250965	0.016001909025110957	0.01323624818360921	0.016001909025110953	0.013236248183609203	-12900.257230980584	-11570.24696026113	0.0	0.0	-211.21309155295967	-204.15285122578675
7000	-24123.809684041553	-459.306603358825	-23664.503080682727	73.1575574439001	71.4987900940982	1935.8424425561	1937.5012099059018	9.241023710661365	7.538585260444441	0.22767537906653038	0.25845836522090837	0.2417348468021181	0.27213140891044313	0.012627741059000192	0.01016762419198783	0.012627741059000186	0.010167624191987832	-12412.563440084308	-11251.93964059842	0.0	0.0	-223.3392669539094	-233.86462276421975
8000	-23262.387378499017	-489.6600293288534	-22772.727349170164	71.8255824869528	74.18046295940262	1937.1744175130473	1934.8195370405974	12.433332452172197	7.505421676958141	0.22100844530043026	0.2718073434907877	0.2417348468021181	0.2654493644066639	0.01211032204091237	0.009394659729940847	0.012110322040912365	0.00939465972994084	-11957.370911114353	-10815.356438055811	0.0	0.0	-233.87669019533845	-253.3560508850345
9000	-22114.794743469894	-510.6691811989156	-21604.12556227098	71.07157000710126	76.49352020404062	1937.9284299928988	1932.5064797959594	13.990747661451145	7.505421676958141	0.22239878649643266	0.2718073434907877	0.2403445056061157	0.2654493644066639	0.009779361645714638	0.008045722447762606	0.009779361645714637	0.008045722447762613	-11306.835353627139	-10297.29020864384	0.0	0.0	-246.46996220267332	-262.682064533265
10000	-21584.96341118192	-527.9846216429904	-21056.97878953893	71.22386588897507	77.89434649345915	1937.776134111025	1931.1056535065409	13.931689057036353	8.424533042513533	0.22239878649643266	0.2718073434907877	0.23971769140207683	0.26607617861070276	0.008441975317348277	0.007540409675315479	0.008441975317348277	0.0075404096753154785	-10892.945483506955	-10164.033306031977	0.0	0.0	-258.24198093695935	-268.44664527883845
11000	-21452.20869137529	-537.556927982401	-20914.65176339289	72.86987168278901	76.94764320564505	1936.130128317211	1932.0523567943549	16.015779415244463	8.389374284385427	0.2218036464592142	0.2718073434907877	0.2339351443985469	0.27245386565145113	0.008357749106588036	0.007352948694204702	0.008357749106588033	0.007352948694204702	-10812.263161125638	-10102.388602267252	0.0	0.0	-262.5543599464943	-273.5095451744687
12000	-20902.23192792605	-541.4478540894906	-20360.78407383656	77.1651885381778	76.62769591537504	1931.8348114618223	1932.372304084625	17.239374129465176	8.389374284385427	0.2175878621376914	0.2771856329963692	0.22710688777792323	0.2781196170880162	0.007663732240589029	0.006906310441571306	0.0076637322405890265	0.006906310441571308	-10350.156752160961	-10010.627321675598	0.0	0.0	-268.1863065524187	-272.1100862578725
13000	-20523.00077928297	-553.8105978168353	-19969.190181466136	80.69577545795369	75.72392039453143	1928.3042245420463	1933.2760796054686	18.489581657023894	8.389374284385427	0.20719901168366017	0.2900498946565064	0.22710688777792323	0.2756442058819103	0.00645953731954545	0.006746472479534874	0.00645953731954545	0.0067464724795348735	-10023.111987086242	-9946.078194379894	0.0	0.0	-277.7817236544303	-275.2646604618966
14000	-19977.451854501665	-579.9975915959408	-19397.454262905725	82.42789517936534	78.2220413035249	1926.5721048206346	1930.777958696475	22.593737387908593	8.356348400224611	0.20719901168366017	0.2790000648997723	0.2326756114185583	0.28112531199800933	0.0057749923813435215	0.005971757487068269	0.005774992381343523	0.00597175748706827	-9748.001575886929	-9649.452687018796	0.0	0.0	-297.39079935710475	-282.0040118185169
15000	-19552.211870570467	-605.5931295972287	-18946.618740973237	85.83368809413037	85.48520683564286	1923.1663119058696	1923.5147931643571	24.695025961014522	8.356348400224611	0.21532820804535224	0.2776714181927171	0.22587506176392144	0.28112531199800933	0.005183042032219026	0.004916384612581521	0.005183042032219028	0.0049163846125815204	-9562.870835245256	-9383.747905727982	0.0	0.0	-307.0617822969517	-298.36683400309266
16000	-19205.366820957912	-621.4899874871546	-18583.876833470757	88.8667998828428	90.09640205604151	1920.1332001171572	1918.9035979439584	30.829456987816222	8.830539155799073	0.21532820804535224	0.2802434774234059	0.21979032209667543	0.2846379924345666	0.004840059402806126	0.004648732655524602	0.0048400594028061225	0.0046487326555246	-9394.382511649343	-9189.494321821412	0.0	0.0	-309.89847122180544	-311.19991427141485
17000	-18751.161424121397	-641.2003294456658	-18109.96109467573	88.8305839194652	88.04325148511752	1920.1694160805348	1920.9567485148825	35.69833501881706	9.158993203268107	0.2245893176348686	0.2767307061407514	0.21177421930388404	0.28690575692049614	0.004401867567902811	0.0042869741760206154	0.0044018675679028145	0.0042869741760206154	-9158.749643279056	-8951.211451396675	0.0	0.0	-315.52438409903704	-325.40144023723076
