# BEAST v1.10.5 Prerelease #23570d1																			
# Generated Fri Jun 30 14:21:54 CEST 2023 [seed=1688127711194]																			
# -beagle_gpu -beagle_order 1 -overwrite -load_state checkpoint.state -save_every 10000 -save_state resumed.state -force_resume b.1.1.7.xml																			
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.doublingTime	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-54535.0582	-2551.077429	-51983.98077	0.324630316	2020.672637	64.3449064	1062.028804	0.019861225	8.622351274	0.291189386	0.17897154	0.193671194	0.33616788	0.074063651	5.21E-04	5.21E-04	-51983.98077	0	-2541.63523
500000	-54444.92996	-2464.411569	-51980.51839	0.3015618	2020.695706	60.57255878	1203.776992	0.018544845	7.321875547	0.293449193	0.180238592	0.193192032	0.333120183	0.092538377	5.60E-04	5.60E-04	-51980.51839	0	-2455.078436
1000000	-54504.95268	-2546.210029	-51958.74265	0.29228798	2020.70498	63.12077674	872.413574	0.020380531	7.697161872	0.296222921	0.175793809	0.189208409	0.338774861	0.025642624	5.44E-04	5.44E-04	-51958.74265	0	-2537.206839
1500000	-54553.79787	-2594.624896	-51959.17298	0.33614449	2020.661123	64.56608563	779.7260498	0.021249848	8.40343863	0.290452884	0.182578264	0.188636315	0.338332538	0.133856236	5.63E-04	5.63E-04	-51959.17298	0	-2585.324435
2000000	-54523.46414	-2516.681858	-52006.78228	0.316742345	2020.680525	60.20592367	656.3684034	0.021009046	8.343339769	0.292899353	0.178822824	0.191304411	0.336973412	0.030354589	5.53E-04	5.53E-04	-52006.78228	0	-2507.769582
2500000	-54483.495	-2514.633708	-51968.86129	0.312233641	2020.685034	61.72146945	751.8479217	0.020408538	7.310350694	0.294759086	0.178156188	0.190274715	0.336810011	0.070533888	5.69E-04	5.69E-04	-51968.86129	0	-2505.745822
3000000	-54512.59244	-2581.591663	-51931.00077	0.323731179	2020.673537	65.02445665	1457.061126	0.018955894	7.670478812	0.295732489	0.181453857	0.187761957	0.335051696	0.038740235	5.28E-04	5.28E-04	-51931.00077	0	-2572.131808
3500000	-54414.46497	-2464.948933	-51949.51604	0.336011399	2020.661256	59.66590064	898.5275943	0.01954134	7.740668001	0.297180191	0.179328223	0.19312853	0.330363056	0.119800108	5.70E-04	5.70E-04	-51949.51604	0	-2455.707942
4000000	-54518.33279	-2544.964495	-51973.3683	0.346637736	2020.65063	62.4224956	845.7838607	0.020574449	7.659339042	0.293429357	0.179125528	0.191285564	0.336159551	0.104666362	5.30E-04	5.30E-04	-51973.3683	0	-2535.84278
4500000	-54638.75212	-2676.886981	-51961.86514	0.332581767	2020.664686	67.62020131	1307.645448	0.020062941	6.834379953	0.295121581	0.178767632	0.190342865	0.335767922	0.043114957	5.04E-04	5.04E-04	-51961.86514	0	-2667.706495
5000000	-54549.29629	-2571.803743	-51977.49254	0.319340456	2020.677927	62.83687703	515.1988315	0.023115208	7.018165214	0.292072418	0.181531562	0.192560552	0.333835468	0.027010974	5.40E-04	5.40E-04	-51977.49254	0	-2563.374878
5500000	-54427.3679	-2450.396183	-51976.97172	0.317648386	2020.679619	60.19445455	905.4626989	0.019617145	7.442171195	0.294533166	0.179623317	0.19478373	0.331059786	0.050408602	5.50E-04	5.50E-04	-51976.97172	0	-2441.37049
6000000	-54445.43446	-2508.79433	-51936.64013	0.331277365	2020.66599	60.79697491	488.8557157	0.022482876	8.030817462	0.293613207	0.178477745	0.190554269	0.337354779	0.066842096	5.80E-04	5.80E-04	-51936.64013	0	-2500.093082
6500000	-54509.69076	-2532.106634	-51977.58413	0.313066617	2020.684201	62.31494671	750.9927825	0.020813178	8.118927585	0.294202303	0.17802485	0.192412479	0.335360368	0.029176493	5.63E-04	5.63E-04	-51977.58413	0	-2523.118208
7000000	-54551.38549	-2600.412311	-51950.97318	0.303918514	2020.693349	63.98252599	755.8465705	0.02124319	7.36755741	0.292889048	0.178378084	0.195151882	0.333580986	0.036814504	5.34E-04	5.34E-04	-51950.97318	0	-2591.584416
7500000	-54587.25749	-2621.369628	-51965.88786	0.307175631	2020.690092	65.45421362	1158.812166	0.01983825	9.082459239	0.295100863	0.183847591	0.188443951	0.332607595	0.061520772	5.39E-04	5.39E-04	-51965.88786	0	-2611.761199
8000000	-54482.42122	-2506.718583	-51975.70264	0.311939635	2020.685328	62.45205278	947.8370697	0.019693456	8.043718278	0.298102734	0.177500957	0.188278517	0.336117792	0.119285045	5.25E-04	5.25E-04	-51975.70264	0	-2497.415636
8500000	-54479.51227	-2509.561149	-51969.95112	0.309792104	2020.687476	61.1655103	746.1098308	0.020632319	7.420549539	0.292904253	0.178841704	0.187680036	0.340574007	0.100343873	5.28E-04	5.28E-04	-51969.95112	0	-2500.621415
9000000	-54468.68031	-2512.783449	-51955.89686	0.302573829	2020.694694	60.88142255	661.3238791	0.020963131	8.703856539	0.294736905	0.175721326	0.195065449	0.33447632	0.008912674	5.51E-04	5.51E-04	-51955.89686	0	-2503.842005
9500000	-54475.22823	-2507.052892	-51968.17533	0.338250641	2020.659017	62.75658156	905.7026619	0.019847568	7.033891257	0.297261159	0.181976083	0.188372727	0.332390031	0.004562181	5.53E-04	5.53E-04	-51968.17533	0	-2498.215512
10000000	-54482.327	-2482.101528	-52000.22548	0.319851743	2020.677416	62.37081436	1076.241218	0.019152325	6.559043308	0.294777967	0.178661435	0.192243636	0.334316961	0.08681493	5.76E-04	5.76E-04	-52000.22548	0	-2473.040203
10500000	-54464.97834	-2507.323546	-51957.65479	0.302312182	2020.694956	62.06838205	1335.056969	0.018612203	7.760657101	0.297291669	0.180853185	0.19051169	0.331343456	0.024894726	5.78E-04	5.78E-04	-51957.65479	0	-2497.911955
