Taxon,Strain,Accession ID,Originating Laboratory,Submitting Laboratory,Authors
Algeria/G0638_2264/2020|2020-03-02,Algeria/G0638_2264/2020,EPI_ISL_418241,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al
Algeria/G0640_2265/2020|2020-03-08,Algeria/G0640_2265/2020,EPI_ISL_418242,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al
Algeria/G0860_2262/2020|2020-03-02,Algeria/G0860_2262/2020,EPI_ISL_420037,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al
Argentina/PAIS_A001/2020|2020-03-01,Argentina/PAIS_A001/2020,EPI_ISL_430793,"Laboratorio Análisis Clínicos, Unidad de Servicios Diagnósticos, Swiss Medical Group",Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Nabaes Jodar et al
Argentina/PAIS_A007/2020|2020-03-30,Argentina/PAIS_A007/2020,EPI_ISL_430799,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Nabaes Jodar et al
Argentina/PAIS_A019/2020|2020-04-07,Argentina/PAIS_A019/2020,EPI_ISL_430810,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Nabaes Jodar et al
Argentina/PAIS_A021/2020|2020-04-11,Argentina/PAIS_A021/2020,EPI_ISL_430812,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Nabaes Jodar et al
Argentina/PAIS_A027/2020|2020-04-19,Argentina/PAIS_A027/2020,EPI_ISL_430818,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Nabaes Jodar et al
Australia/NSW01/2020|2020-01-24,Australia/NSW01/2020,EPI_ISL_407893,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden J-S et al
Australia/NSW492/2020|2020-04-23,Australia/NSW492/2020,EPI_ISL_455032,Pathology West - NSW Health Pathology,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,CIDM-PH et al. et al
Australia/NSW534/2020|2020-05-07,Australia/NSW534/2020,EPI_ISL_455073,Sullivan Nicolaides Pathology,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,CIDM-PH et al. et al
Australia/NSW553/2020|2020-05-18,Australia/NSW553/2020,EPI_ISL_455092,South Eastern Area Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,CIDM-PH et al. et al
Australia/NSW554/2020|2020-05-20,Australia/NSW554/2020,EPI_ISL_455093,South Eastern Area Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,CIDM-PH et al. et al
Australia/NSW560/2020|2020-05-24,Australia/NSW560/2020,EPI_ISL_455099,South Eastern Area Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,CIDM-PH et al. et al
Australia/NSW60/2020|2020-03-17,Australia/NSW60/2020,EPI_ISL_427663,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms V et al
Australia/NT04/2020|2020-02-22,Australia/NT04/2020,EPI_ISL_419833,Royal Darwin Hospital,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",Meumann et al
Australia/QLD02/2020|2020-01-30,Australia/QLD02/2020,EPI_ISL_407896,Pathology Queensland,Public Health Virology Laboratory,Ben Huang et al
Australia/QLD04/2020|2020-02-05,Australia/QLD04/2020,EPI_ISL_410718,Pathology Queensland,Public Health Virology Laboratory,Ben Huang et al
Australia/SAP214/2020|2020-01-30,Australia/SAP214/2020,EPI_ISL_468032,SA Pathology,SA Pathology,Lex Leong et al
Australia/VIC03/2020|2020-01-25,Australia/VIC03/2020,EPI_ISL_416411,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",Caly L. et al
Australia/VIC07/2020|2020-02-08,Australia/VIC07/2020,EPI_ISL_416415,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",Caly L. et al
Australia/VIC13/2020|2020-01-31,Australia/VIC13/2020,EPI_ISL_419733,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",Caly L. et al
Australia/VIC1343/2020|2020-04-14,Australia/VIC1343/2020,EPI_ISL_430684,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann T. et al
Australia/VIC1458/2020|2020-04-20,Australia/VIC1458/2020,EPI_ISL_456454,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC1533/2020|2020-05-06,Australia/VIC1533/2020,EPI_ISL_456478,Microbiological Diagnostic Unit Public Health Laboratory,"Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity",Seemann T. et al
Australia/VIC1589/2020|2020-05-07,Australia/VIC1589/2020,EPI_ISL_456509,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC1590/2020|2020-05-07,Australia/VIC1590/2020,EPI_ISL_456510,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
Australia/VIC1612/2020|2020-05-13,Australia/VIC1612/2020,EPI_ISL_456522,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al
